Row Labels,Female,Male,Grand Total
"3x3 Basketball', 'Basketball",1,0,1
3x3 Basketball,32,32,64
Archery,64,64,128
Artistic Gymnastics,94,96,190
Artistic Swimming,106,0,106
[Athletics],0,2,2
Athletics,982,1036,2018
Badminton,87,88,175
Basketball,143,144,287
Beach Volleyball,48,48,96
Boxing,124,124,248
Breaking,17,16,33
Canoe Slalom,41,43,84
Canoe Sprint,120,119,239
Cycling BMX Freestyle,12,12,24
Cycling BMX Racing,33,34,67
Cycling Mountain Bike,33,35,68
"Cycling Road', 'Cycling Mountain Bike",1,1,2
"Cycling Road', 'Cycling Track",8,3,11
"Cycling Road', 'Triathlon",1,0,1
Cycling Road,84,90,174
Cycling Track,110,114,224
Diving,68,67,135
[Equestrian],0,1,1
Equestrian,93,149,242
Fencing,130,130,260
Football,240,313,553
Golf,60,60,120
Handball,202,184,386
Hockey,203,212,415
Judo,186,192,378
"Marathon Swimming', 'Swimming",4,13,17
Marathon Swimming,20,18,38
Modern Pentathlon,36,36,72
Rhythmic Gymnastics,94,0,94
Rowing,244,249,493
Rugby Sevens,158,159,317
Sailing,165,165,330
Shooting,171,171,342
Skateboarding,44,44,88
Sport Climbing,34,34,68
Surfing,24,24,48
Swimming,386,450,836
Table Tennis,88,87,175
Taekwondo,65,69,134
Tennis,87,89,176
Trampoline Gymnastics,16,16,32
Triathlon,54,57,111
Volleyball,155,156,311
Water Polo,130,156,286
Weightlifting,61,61,122
Wrestling,96,195,291
