Rank,Row Labels,Bronze Medal,Gold Medal,Silver Medal,Grand Total,Rank by Total
1,United States,95,134,101,330,1
2,France,39,53,95,187,2
3,China,40,71,57,168,3
4,Great Britain,80,40,42,162,4
5,Australia,45,33,45,123,5
6,Netherlands,26,67,25,118,6
7,Germany,38,25,50,113,7
8,Italy,28,31,29,88,8
9,Spain,36,40,7,83,9
10,Japan,24,27,31,82,10
11,Brazil,35,4,28,67,11
12,Korea,23,21,14,58,12
13,Canada,14,14,29,57,13
14,New Zealand,7,26,18,51,14
15,Denmark,20,17,5,42,15
16,Hungary,10,9,12,31,16
17,Serbia,12,16,1,29,17
18,Poland,11,1,16,28,18
19,Norway,4,18,1,23,19
20,India,21,0,1,22,20
21,South Africa,14,1,7,22,20
22,Romania,2,12,7,21,22
23,Croatia,3,3,14,20,23
24,Morocco,19,1,0,20,23
25,Argentina,16,1,2,19,25
26,Sweden,4,5,7,16,26
27,Ukraine,4,6,6,16,26
28,Fiji,0,0,14,14,28
29,Uzbekistan,3,8,2,13,29
30,IR Iran,3,3,6,12,30
31,Israel,1,1,9,11,31
32,Kenya,5,4,2,11,31
33,TÃ¼rkiye,7,0,4,11,31
34,Belgium,6,3,1,10,34
35,Greece,8,1,1,10,34
36,Switzerland,7,1,2,10,34
37,Cuba,6,2,1,9,37
38,Czechia,5,4,0,9,37
39,Ireland,4,5,0,9,37
40,Chinese Taipei,5,3,0,8,40
41,DPR Korea,4,0,4,8,40
42,Kazakhstan,4,1,3,8,40
43,Mexico,4,0,4,8,40
44,Azerbaijan,3,2,2,7,44
45,Botswana,0,1,6,7,44
46,Bulgaria,3,3,1,7,44
47,Georgia,1,3,3,7,44
48,Lithuania,5,0,2,7,44
49,AIN,1,1,4,6,49
50,Austria,3,3,0,6,49
51,Ecuador,2,1,3,6,49
52,Jamaica,2,1,3,6,49
53,Kyrgyzstan,4,0,2,6,49
54,Thailand,2,1,3,6,49
55,Portugal,1,2,2,5,55
56,Armenia,1,0,3,4,56
57,Bahrain,1,2,1,4,56
58,Colombia,1,0,3,4,56
59,Ethiopia,0,1,3,4,56
60,"Hong Kong, China",2,2,0,4,56
61,Philippines,2,2,0,4,56
62,Republic of Moldova,3,0,1,4,56
63,Algeria,1,2,0,3,63
64,Dominican Republic,2,1,0,3,63
65,Egypt,1,1,1,3,63
66,Indonesia,1,2,0,3,63
67,Malaysia,3,0,0,3,63
68,Slovenia,0,2,1,3,63
69,Tajikistan,3,0,0,3,63
70,Tunisia,1,1,1,3,63
71,Albania,2,0,0,2,71
72,Chile,0,1,1,2,71
73,Grenada,2,0,0,2,71
74,Guatemala,1,1,0,2,71
75,Kosovo,1,0,1,2,71
76,Puerto Rico,2,0,0,2,71
77,Saint Lucia,0,1,1,2,71
78,Uganda,0,1,1,2,71
79,CÃ´te d'Ivoire,1,0,0,1,79
80,Cabo Verde,1,0,0,1,79
81,Cyprus,0,0,1,1,79
82,Dominica,0,1,0,1,79
83,EOR,1,0,0,1,79
84,Jordan,0,0,1,1,79
85,Mongolia,0,0,1,1,79
86,Pakistan,0,1,0,1,79
87,Panama,0,0,1,1,79
88,Peru,1,0,0,1,79
89,Qatar,1,0,0,1,79
90,Singapore,1,0,0,1,79
91,Slovakia,1,0,0,1,79
92,Zambia,1,0,0,1,79
